id,currency_value_formatted,last_updated,currency_name,currency_value,currency_code
10287420,"83,794.20999973",2025-04-13 10:08:09.659696,Bitcoin,83794.209999728700000000,BTC
10287369,"83,805.13000029",2025-04-13 10:07:49.634737,Bitcoin,83805.130000291900000000,BTC
10287291,"83,797.03500001",2025-04-13 10:07:44.671022,Bitcoin,83797.035000011400000000,BTC
10287181,"83,808.69499983",2025-04-13 10:07:24.661742,Bitcoin,83808.694999829200000000,BTC
10287070,"83,786.87500008",2025-04-13 10:07:09.668317,Bitcoin,83786.875000083300000000,BTC
10286998,"83,841.75500022",2025-04-13 10:06:54.667422,Bitcoin,83841.755000218200000000,BTC
10286937,"83,874.55500021",2025-04-13 10:06:39.668574,Bitcoin,83874.555000213400000000,BTC
10286854,"83,874.57499985",2025-04-13 10:06:19.658933,Bitcoin,83874.574999851900000000,BTC
10286792,"83,875.76999996",2025-04-13 10:06:04.655963,Bitcoin,83875.769999957700000000,BTC
10286729,"83,872.59500031",2025-04-13 10:05:49.648928,Bitcoin,83872.595000308100000000,BTC
10286671,"83,884.59500005",2025-04-13 10:05:34.659277,Bitcoin,83884.595000045800000000,BTC
10286618,"83,887.56000027",2025-04-13 10:05:19.660970,Bitcoin,83887.560000274100000000,BTC
10286556,"83,872.41499974",2025-04-13 10:05:14.670497,Bitcoin,83872.414999741100000000,BTC
10286465,"83,856.68500014",2025-04-13 10:05:04.674746,Bitcoin,83856.685000137500000000,BTC
10286413,"83,859.60499967",2025-04-13 10:04:54.649714,Bitcoin,83859.604999669800000000,BTC
10286340,"83,888.96000009",2025-04-13 10:04:39.672326,Bitcoin,83888.960000092200000000,BTC
10286266,"83,880.27499989",2025-04-13 10:04:24.710256,Bitcoin,83880.274999894200000000,BTC
10286200,"83,903.04999995",2025-04-13 10:04:04.641999,Bitcoin,83903.049999950000000000,BTC
10286105,"83,914.21999982",2025-04-13 10:03:54.676148,Bitcoin,83914.219999815200000000,BTC
10285997,"83,938.44499997",2025-04-13 10:03:44.659498,Bitcoin,83938.444999965900000000,BTC
10285919,"83,980.33499975",2025-04-13 10:03:34.657060,Bitcoin,83980.334999751900000000,BTC
10285855,"83,988.23999996",2025-04-13 10:03:14.643061,Bitcoin,83988.239999961700000000,BTC
10285773,"84,005.05500005",2025-04-13 10:02:54.642744,Bitcoin,84005.055000051600000000,BTC
10285711,"84,001.78500033",2025-04-13 10:02:49.670892,Bitcoin,84001.785000332000000000,BTC
10285645,"83,985.13999973",2025-04-13 10:02:29.652363,Bitcoin,83985.139999726000000000,BTC
10285569,"83,991.44499977",2025-04-13 10:02:14.676164,Bitcoin,83991.444999765200000000,BTC
10285466,"83,972.04000007",2025-04-13 10:01:49.664588,Bitcoin,83972.040000069300000000,BTC
10285381,"83,988.64000032",2025-04-13 10:01:44.674884,Bitcoin,83988.640000323700000000,BTC
10285319,"84,008.37499988",2025-04-13 10:01:24.642568,Bitcoin,84008.374999884200000000,BTC
10285285,"84,018.85499973",2025-04-13 10:01:09.646688,Bitcoin,84018.854999730600000000,BTC
10285206,"84,018.04499978",2025-04-13 10:00:54.649647,Bitcoin,84018.044999778400000000,BTC
10285146,"84,036.44499972",2025-04-13 10:00:44.665687,Bitcoin,84036.444999722100000000,BTC
10285093,"84,035.52000018",2025-04-13 10:00:34.664164,Bitcoin,84035.520000178900000000,BTC
10285036,"84,035.51500031",2025-04-13 10:00:19.647110,Bitcoin,84035.515000305400000000,BTC
10284975,"84,063.12499995",2025-04-13 09:59:59.610008,Bitcoin,84063.124999953500000000,BTC
10284934,"84,054.99499971",2025-04-13 09:59:39.654635,Bitcoin,84054.994999714900000000,BTC
10284856,"84,053.56499995",2025-04-13 09:59:29.670838,Bitcoin,84053.564999949100000000,BTC
10284807,"84,047.93500020",2025-04-13 09:59:19.649487,Bitcoin,84047.935000204100000000,BTC
10284763,"84,062.44499980",2025-04-13 09:59:14.649749,Bitcoin,84062.444999804700000000,BTC
10284719,"84,047.93500020",2025-04-13 09:59:09.650748,Bitcoin,84047.935000204100000000,BTC
10284659,"84,062.44499980",2025-04-13 09:58:59.683266,Bitcoin,84062.444999804700000000,BTC
10284603,"84,102.86500031",2025-04-13 09:58:39.734499,Bitcoin,84102.865000308400000000,BTC
10284526,"84,068.17500033",2025-04-13 09:58:24.644376,Bitcoin,84068.175000329800000000,BTC
10284465,"84,079.57500030",2025-04-13 09:58:04.650121,Bitcoin,84079.575000301200000000,BTC
10284397,"84,048.77499966",2025-04-13 09:57:49.653245,Bitcoin,84048.774999662600000000,BTC
10284356,"84,034.80500030",2025-04-13 09:57:34.641488,Bitcoin,84034.805000300500000000,BTC
10284284,"84,018.87999978",2025-04-13 09:57:19.649282,Bitcoin,84018.879999781500000000,BTC
10284230,"84,014.92500026",2025-04-13 09:57:04.635160,Bitcoin,84014.925000255300000000,BTC
10284192,"84,035.10000017",2025-04-13 09:56:54.688046,Bitcoin,84035.100000168600000000,BTC
10284143,"84,011.90499998",2025-04-13 09:56:39.663165,Bitcoin,84011.904999982400000000,BTC
10284062,"84,014.82499967",2025-04-13 09:56:24.665481,Bitcoin,84014.824999673400000000,BTC
10284002,"84,008.67500004",2025-04-13 09:56:14.661567,Bitcoin,84008.675000038200000000,BTC
10283932,"83,993.65000006",2025-04-13 09:55:54.679273,Bitcoin,83993.650000064400000000,BTC
10283865,"83,990.45000003",2025-04-13 09:55:39.698541,Bitcoin,83990.450000032300000000,BTC
10283822,"84,007.98000008",2025-04-13 09:55:24.795568,Bitcoin,84007.980000079200000000,BTC
10283770,"83,989.87500018",2025-04-13 09:55:04.657112,Bitcoin,83989.875000176000000000,BTC
10283676,"84,005.72500031",2025-04-13 09:54:49.639542,Bitcoin,84005.725000306700000000,BTC
10283613,"84,011.30000033",2025-04-13 09:54:29.665959,Bitcoin,84011.300000327500000000,BTC
10283567,"84,035.32000005",2025-04-13 09:54:14.664384,Bitcoin,84035.320000053900000000,BTC
10283470,"84,031.68500012",2025-04-13 09:54:04.679171,Bitcoin,84031.685000120600000000,BTC
10283411,"84,067.00500035",2025-04-13 09:53:44.653161,Bitcoin,84067.005000346900000000,BTC
10283356,"84,033.12499966",2025-04-13 09:53:24.689428,Bitcoin,84033.124999661400000000,BTC
